101,20/12/2018 13:00:00,111311119,103332201,1001,900,2
102,20/12/2018 13:00:00,111322229,105555501,1050,800,3
103,21/12/2018 16:00:00,111422229,104442201,9090,8000,2
104,21/12/2018 15:00:00,111522229,107772201,7006,7000,3
105,21/12/2018 14:00:00,111622229,1066662201,900,800,2
106,19/12/2018 13:00:00,111722229,1090900201,900,200,3
110,20/11/2018 13:00:00,111311119,103332201,1050,1001,2
112,20/11/2018 13:00:00,111322229,105555501,1150,1050,3
123,21/11/2018 16:00:00,111422229,104442201,10090,9090,2
134,21/11/2018 15:00:00,111522229,107772201,7777,7006,3
145,21/11/2018 14:00:00,111622229,1066662201,1000,900,2
156,19/11/2018 13:00:00,111722229,1090900201,1200,900,3
